# R1,R2,R3
1.889726,3.212534,3.727123
1.889726,3.212532,3.866472
1.889726,3.212528,3.999970
1.889726,3.212526,4.127209
1.889726,3.212536,4.247835
1.889726,3.212528,4.361498
1.889726,3.212529,4.467910
1.889726,3.212537,4.566794
1.889726,3.212542,4.657895
1.889726,3.212530,4.740973
1.889726,3.212542,4.815864
1.889726,3.212537,4.882346
1.889726,3.212529,4.940277
1.889726,3.212528,4.989531
1.889726,3.212536,5.029996
1.889726,3.212526,5.061548
1.889726,3.212528,5.084146
1.889726,3.212532,5.097729
1.889726,2.480787,3.779443
1.889726,2.629257,3.779460
1.889726,2.784741,3.779443
1.889726,2.945098,3.779460
1.889726,3.108401,3.779443
1.889726,3.273100,3.779451
1.889726,3.437817,3.779463
1.889726,3.601373,3.779461
1.889726,3.762746,3.779450
1.889726,3.779462,3.921088
1.889726,3.779453,4.075584
1.889726,3.779452,4.225556
1.889726,3.779453,4.370386
1.889726,3.779462,4.509530
1.889726,3.779450,4.642452
1.889726,3.779461,4.768741
1.889726,3.779463,4.887966
1.889726,3.779451,4.999744
1.889726,3.779443,5.103758
1.889726,3.779460,5.199727
1.889726,3.779443,5.287317
1.889726,3.779460,5.366355
1.889726,3.779443,5.436562
1.889726,3.779451,5.497803
1.889726,3.779463,5.549898
1.889726,3.779461,5.592695
1.889726,3.779450,5.626085
1.889726,3.779462,5.650016
1.889726,3.779453,5.664383
1.889726,2.825585,4.157393
1.889726,2.969577,4.157397
1.889726,3.121602,4.157384
1.889726,3.279500,4.157397
1.889726,3.441299,4.157393
1.889726,3.605375,4.157404
1.889726,3.770224,4.157402
1.889726,3.934579,4.157388
1.889726,4.097357,4.157402
1.889726,4.157404,4.257531
1.889726,4.157400,4.414251
1.889726,4.157397,4.566730
1.889726,4.157400,4.714284
1.889726,4.157404,4.856293
1.889726,4.157402,4.992173
1.889726,4.157388,5.121422
1.889726,4.157402,5.243618
1.889726,4.157404,5.358304
1.889726,4.157393,5.465109
1.889726,4.157397,5.563714
1.889726,4.157384,5.653797
1.889726,4.157397,5.735124
1.889726,4.157393,5.807411
1.889726,4.157404,5.870493
1.889726,4.157402,5.924155
1.889726,4.157388,5.968250
1.889726,4.157402,6.002697
1.889726,4.157404,6.027360
1.889726,4.157400,6.042181
1.889726,3.715890,5.102264
1.889726,3.851228,5.102265
1.889726,3.996059,5.102265
1.889726,4.148348,5.102265
1.889726,4.306208,5.102264
1.889726,4.467916,5.102263
1.889726,4.631894,5.102259
1.889726,4.796738,5.102258
1.889726,4.961163,5.102260
1.889726,5.102259,5.124014
1.889726,5.102269,5.284271
1.889726,5.102261,5.440968
1.889726,5.102269,5.593290
1.889726,5.102259,5.740444
1.889726,5.102260,5.881761
1.889726,5.102258,6.016602
1.889726,5.102259,6.144411
1.889726,5.102263,6.264665
1.889726,5.102264,6.376903
1.889726,5.102265,6.480706
1.889726,5.102265,6.575702
1.889726,5.102265,6.661560
1.889726,5.102264,6.737988
1.889726,5.102263,6.804732
1.889726,5.102259,6.861568
1.889726,5.102258,6.908321
1.889726,5.102260,6.944840
1.889726,5.102259,6.971003
1.889726,5.102269,6.986745
1.889726,4.627870,6.047124
1.889726,4.757198,6.047120
1.889726,4.896727,6.047119
1.889726,5.044595,6.047120
1.889726,5.199021,6.047124
1.889726,5.358296,6.047121
1.889726,5.520852,6.047116
1.889726,5.685247,6.047127
1.889726,5.850081,6.047118
1.889726,6.014148,6.047113
1.889726,6.047118,6.176307
1.889726,6.047124,6.335516
1.889726,6.047118,6.490812
1.889726,6.047113,6.641334
1.889726,6.047118,6.786307
1.889726,6.047127,6.924997
1.889726,6.047116,7.056738
1.889726,6.047121,7.180957
1.889726,6.047124,7.297104
1.889726,6.047120,7.404695
1.889726,6.047119,7.503299
1.889726,6.047120,7.592530
1.889726,6.047124,7.672051
1.889726,6.047121,7.741549
1.889726,6.047116,7.800778
1.889726,6.047127,7.849544
1.889726,6.047118,7.887632
1.889726,6.047113,7.914936
1.889726,6.047118,7.931363
1.363802,2.267666,2.267671
1.551189,2.267671,2.267672
1.735602,2.267671,2.267676
1.916709,2.267671,2.267672
2.094186,2.267666,2.267671
2.267671,2.267671,2.267671
2.267671,2.267671,2.436841
2.267667,2.267671,2.601368
2.267668,2.267671,2.760943
2.267671,2.267673,2.915260
2.267665,2.267671,3.064024
2.267671,2.267671,3.206972
2.267665,2.267671,3.343805
2.267671,2.267673,3.474278
2.267668,2.267671,3.598124
2.267667,2.267671,3.715128
2.267671,2.267671,3.825067
2.267671,2.267671,3.927722
2.267666,2.267671,4.022893
2.267671,2.267672,4.110422
