# R1,R2,R3,ETriat,E
2.600000,2.644898,2.300000,30.563823,8.945606
2.300000,2.707597,2.700000,29.076369,8.665520
2.700000,2.707597,2.300000,29.076369,8.665520
2.300000,2.772486,2.800000,27.709213,8.495204
2.800000,2.772486,2.300000,27.709213,8.495204
2.300000,2.839414,2.900000,26.438007,8.386140
2.900000,2.839414,2.300000,26.438007,8.386140
2.300000,2.908241,3.000000,24.208706,7.265603
3.000000,2.908241,2.300000,24.208706,7.265603
2.300000,2.978836,3.100000,22.383024,6.481153
3.100000,2.978836,2.300000,22.383024,6.481153
2.300000,3.051075,3.200000,20.728502,5.790174
3.200000,3.051075,2.300000,20.728502,5.790174
2.300000,3.124845,3.300000,19.241902,5.182898
3.300000,3.124845,2.300000,19.241902,5.182898
2.300000,3.200039,3.400000,17.914234,4.647106
3.400000,3.200039,2.300000,17.914234,4.647106
2.300000,3.354317,3.600000,15.692996,3.748531
3.600000,3.354317,2.300000,15.692996,3.748531
2.300000,3.513208,3.800000,13.979303,3.033307
3.800000,3.513208,2.300000,13.979303,3.033307
2.300000,3.676115,4.000000,12.690163,2.466576
4.000000,3.676115,2.300000,12.690163,2.466576
2.400000,2.579038,2.400000,32.091344,9.157910
2.400000,2.579038,2.400000,32.091344,9.157910
2.400000,2.606244,2.450000,31.224333,8.834448
2.450000,2.606244,2.400000,31.224333,8.834448
2.400000,2.634119,2.500000,30.392931,8.566987
2.500000,2.634119,2.400000,30.392931,8.566987
2.400000,2.662640,2.550000,29.595977,8.348208
2.550000,2.662640,2.400000,29.595977,8.348208
2.400000,2.691788,2.600000,28.832428,8.171742
2.600000,2.691788,2.400000,28.832428,8.171742
2.400000,2.751884,2.700000,27.401454,7.923792
2.700000,2.751884,2.400000,27.401454,7.923792
2.400000,2.814251,2.800000,26.092400,7.785204
2.800000,2.814251,2.400000,26.092400,7.785204
2.400000,2.878742,2.900000,24.897077,7.724496
2.900000,2.878742,2.400000,24.897077,7.724496
2.400000,2.945216,3.000000,23.789235,7.697502
3.000000,2.945216,2.400000,23.789235,7.697502
2.400000,3.013543,3.100000,21.972794,6.894657
3.100000,3.013543,2.400000,21.972794,6.894657
2.400000,3.083599,3.200000,20.378208,6.236822
3.200000,3.083599,2.400000,20.378208,6.236822
2.400000,3.155270,3.300000,18.945438,5.657900
3.300000,3.155270,2.400000,18.945438,5.657900
2.400000,3.228447,3.400000,17.668333,5.148884
3.400000,3.228447,2.400000,17.668333,5.148884
2.400000,3.378928,3.600000,15.537500,4.299235
3.600000,3.378928,2.400000,15.537500,4.299235
2.400000,3.534324,3.800000,13.895586,3.623223
3.800000,3.534324,2.400000,13.895586,3.623223
2.400000,3.694013,4.000000,12.658122,3.084302
4.000000,3.694013,2.400000,12.658122,3.084302
2.500000,2.686498,2.500000,28.750292,8.010705
2.500000,2.686498,2.500000,28.750292,8.010705
2.500000,2.713691,2.550000,27.980779,7.807599
2.550000,2.713691,2.500000,27.980779,7.807599
2.500000,2.741526,2.600000,27.244357,7.645827
2.600000,2.741526,2.500000,27.244357,7.645827
2.500000,2.799045,2.700000,25.866905,7.424925
2.700000,2.799045,2.500000,25.866905,7.424925
2.500000,2.858906,2.800000,24.610872,7.311372
2.800000,2.858906,2.500000,24.610872,7.311372
2.500000,2.920965,2.900000,23.470049,7.276378
2.900000,2.920965,2.500000,23.470049,7.276378
2.500000,2.985084,3.000000,22.437020,7.295263
3.000000,2.985084,2.500000,22.437020,7.295263
2.500000,3.051134,3.100000,21.482185,7.325522
3.100000,3.051134,2.500000,21.482185,7.325522
2.500000,3.118991,3.200000,20.015679,6.768206
3.200000,3.118991,2.500000,20.015679,6.768206
2.500000,3.188542,3.300000,18.638923,6.219107
3.300000,3.188542,2.500000,18.638923,6.219107
2.500000,3.259676,3.400000,17.411185,5.734990
3.400000,3.259676,2.500000,17.411185,5.734990
2.500000,3.406299,3.600000,15.368347,4.930540
3.600000,3.406299,2.500000,15.368347,4.930540
2.500000,3.558125,3.800000,13.798374,4.292623
