# R1,R2,R3,ETriat,E
3.500000,3.750677,3.000000,13.652795,7.415733
1.700000,7.588613,8.000000,9.091749,4.768468
8.000000,7.588613,1.700000,9.091749,4.768468
2.150000,4.719011,5.000000,9.730480,0.267933
5.000000,4.719011,2.150000,9.730480,0.267933
1.900000,3.681098,3.500000,14.286309,3.292398
3.500000,3.681098,1.900000,14.286309,3.292398
2.000000,2.670042,2.150000,36.474009,11.912175
2.150000,2.670042,2.000000,36.474009,11.912175
2.000000,3.717382,3.500000,14.187359,2.550081
3.500000,3.717382,2.000000,14.187359,2.550081
2.000000,5.986021,6.000000,9.271490,0.058490
6.000000,5.986021,2.000000,9.271490,0.058490
2.150000,3.000964,2.500000,27.178251,6.696429
2.500000,3.000964,2.150000,27.178251,6.696429
2.150000,6.011853,6.000000,9.338950,0.020816
6.000000,6.011853,2.150000,9.338950,0.020816
2.300000,3.300517,2.800000,20.960350,4.850791
2.800000,3.300517,2.300000,20.960350,4.850791
2.300000,5.127972,5.000000,9.659486,0.846748
5.000000,5.127972,2.300000,9.659486,0.846748
2.500000,3.414517,2.800000,19.241003,4.892002
2.800000,3.414517,2.500000,19.241003,4.892002
2.500000,5.187369,5.000000,9.746649,2.245593
5.000000,5.187369,2.500000,9.746649,2.245593
1.600000,3.313514,3.500000,16.211900,12.353145
3.500000,3.313514,1.600000,16.211900,12.353145
2.300000,3.468930,3.500000,15.540744,3.726237
3.500000,3.468930,2.300000,15.540744,3.726237
1.700000,5.649141,6.000000,9.166359,4.798445
6.000000,5.649141,1.700000,9.166359,4.798445
2.300000,3.093561,3.000000,22.255479,6.449008
3.000000,3.093561,2.300000,22.255479,6.449008
1.700000,3.327155,3.500000,16.229035,8.248978
3.500000,3.327155,1.700000,16.229035,8.248978
2.300000,2.758037,2.500000,30.574239,9.051393
2.500000,2.758037,2.300000,30.574239,9.051393
1.600000,5.656254,6.000000,9.178179,8.989153
6.000000,5.656254,1.600000,9.178179,8.989153
2.150000,2.682496,2.500000,33.460320,10.788083
2.500000,2.682496,2.150000,33.460320,10.788083
1.800000,3.783505,4.000000,11.953633,3.693269
4.000000,3.783505,1.800000,11.953633,3.693269
2.300000,2.953774,2.800000,25.826971,7.849960
2.800000,2.953774,2.300000,25.826971,7.849960
1.900000,4.702299,5.000000,9.612221,0.974442
5.000000,4.702299,1.900000,9.612221,0.974442
2.000000,7.553500,8.000000,9.216569,0.038222
8.000000,7.553500,2.000000,9.216569,0.038222
2.500000,3.925506,4.000000,11.928172,3.456461
4.000000,3.925506,2.500000,11.928172,3.456461
1.800000,4.699323,5.000000,9.563881,2.436256
5.000000,4.699323,1.800000,9.563881,2.436256
2.300000,5.643602,6.000000,9.435746,0.703046
6.000000,5.643602,2.300000,9.435746,0.703046
1.700000,3.773397,4.000000,11.922040,6.264651
4.000000,3.773397,1.700000,11.922040,6.264651
2.150000,9.482385,10.000000,9.279895,0.001768
10.000000,9.482385,2.150000,9.279895,0.001768
2.800000,3.330775,3.000000,18.098734,6.959433
3.000000,3.330775,2.800000,18.098734,6.959433
1.800000,9.535579,10.000000,9.125153,2.186005
10.000000,9.535579,1.800000,9.125153,2.186005
2.000000,2.982576,3.000000,23.939351,6.984641
3.000000,2.982576,2.000000,23.939351,6.984641
2.800000,4.022282,4.000000,11.795079,5.645171
4.000000,4.022282,2.800000,11.795079,5.645171
1.900000,2.794800,2.800000,28.927569,10.105183
2.800000,2.794800,1.900000,28.927569,10.105183
2.500000,3.049872,2.800000,23.337086,7.256575
