# R1,R2,R3,ETriat
7.500000,2.426074,9.727132,-0.743870
7.500000,2.908320,10.226220,-0.423949
7.500000,3.102792,10.425880,-0.293775
7.500000,3.591630,10.925090,-0.067733
7.500000,4.083172,11.424370,0.007834
7.500000,5.071220,12.423090,0.055768
7.500000,6.063188,13.422010,0.065311
7.500000,7.057424,14.421080,0.066394
1.400000,1.115242,2.488792,-2.847513
1.400000,1.164911,2.538742,-2.827532
1.400000,1.264328,2.638648,-2.824353
1.400000,1.463399,2.838480,-2.908281
1.400000,1.662693,3.038334,-3.036244
1.400000,2.061692,3.438093,-3.206029
1.400000,2.461016,3.837902,-3.104416
1.400000,2.860529,4.237747,-2.684578
1.400000,3.260161,4.637619,-2.006658
1.400000,3.759811,5.137487,-1.151823
1.400000,4.259544,5.637379,-0.884685
1.400000,4.759332,6.137288,-0.446754
1.400000,5.259161,6.637210,-0.210914
1.400000,5.759019,7.137144,-0.096955
1.400000,6.258901,7.637086,-0.045304
1.400000,8.258569,9.636915,-0.008936
1.500000,1.063786,2.534561,-2.907466
1.500000,1.113369,2.584506,-2.893882
1.500000,1.212638,2.684402,-2.902949
1.500000,1.411485,2.884215,-3.002924
1.500000,1.610617,3.084053,-3.138394
1.500000,2.009400,3.483784,-3.308118
1.500000,2.408586,3.883570,-3.204450
1.500000,2.808003,4.283396,-2.787228
1.500000,3.207566,4.683252,-2.098235
1.500000,3.707152,5.183103,-1.073980
1.500000,4.206837,5.682981,-0.268898
1.500000,4.706588,6.182878,-0.478534
1.500000,5.206388,6.682791,-0.222876
1.500000,5.706222,7.182715,-0.098685
1.500000,6.206083,7.682650,-0.042477
1.500000,8.205697,9.682456,-0.002860
1.600000,1.012579,2.580344,-2.950722
1.600000,1.062056,2.630284,-2.942534
1.600000,1.161144,2.730169,-2.961515
1.600000,1.359721,2.929963,-3.074369
1.600000,1.558662,3.129784,-3.215705
1.600000,1.957192,3.529486,-3.388784
1.600000,2.356219,3.929249,-3.290162
1.600000,2.755529,4.329056,-2.889871
1.600000,3.155014,4.728895,-2.217991
1.600000,3.654528,5.228729,-1.185211
1.600000,4.154160,5.728592,-0.336053
1.600000,4.653870,6.228477,-0.507753
1.600000,5.153637,6.728378,-0.233246
1.600000,5.653444,7.228294,-0.099042
1.600000,6.153284,7.728220,-0.038233
1.600000,8.152837,9.728002,0.004778
1.700000,0.961661,2.626140,-2.968821
1.700000,1.011007,2.676074,-2.967248
1.700000,1.109875,2.775949,-2.994959
1.700000,1.308126,2.975724,-3.119384
1.700000,1.506840,3.175527,-3.265406
1.700000,1.905075,3.575200,-3.443421
1.700000,2.303922,3.974939,-3.352987
1.700000,2.703109,4.374726,-2.975576
1.700000,3.102506,4.774548,-2.332842
1.700000,3.601941,5.274364,-1.323218
1.700000,4.101513,5.774211,-0.519508
1.700000,4.601178,6.274083,-0.522743
1.700000,5.100909,6.773974,-0.226569
1.700000,5.600687,7.273880,-0.084554
1.700000,6.100502,7.773798,-0.020111
1.700000,8.099991,9.773553,0.025676
1.800000,0.837487,2.597060,-2.922595
1.800000,0.813012,2.572099,-2.892992
1.800000,0.788571,2.547139,-2.844743
1.800000,0.764166,2.522179,-2.769383
1.800000,0.739800,2.497221,-2.656096
1.800000,0.715479,2.472263,-2.491241
1.800000,0.691205,2.447306,-2.257839
1.800000,0.666986,2.422350,-1.934979
2.000000,0.738408,2.688727,-2.454832
2.000000,0.714251,2.663772,-2.256247
2.000000,0.690154,2.638817,-1.986834
2.000000,0.666124,2.613864,-1.625997
2.000000,0.642168,2.588912,-1.148545
2.000000,0.618295,2.563960,-0.523941
2.000000,0.594514,2.539009,0.284961
2.000000,0.570837,2.514060,1.323182
2.400000,0.550064,2.872181,2.968994
2.400000,0.527338,2.847238,4.596208
2.800000,0.390760,3.055773,27.833143
2.800000,0.372579,3.030841,33.971604
