R1,R2,R3,ETriat,EDiat,E
3.800000,3.005806,6.733886,-1.635205,-1.446651,-3.081856
3.800000,3.502799,7.233410,-1.086820,-1.008314,-2.095134
3.800000,4.000541,7.732995,-0.615628,-0.845879,-1.461507
3.800000,4.299437,8.032771,-0.454351,-0.807271,-1.261622
3.800000,4.797905,8.532433,-0.471400,-0.777898,-1.249298
3.800000,4.997377,8.732308,-0.494213,-0.771645,-1.265858
3.800000,5.496227,9.232021,-0.534442,-0.761772,-1.296214
3.800000,5.995268,9.731763,-0.554887,-0.756002,-1.310889
3.800000,6.993761,10.731320,-0.568975,-0.749670,-1.318645
4.500000,0.743943,5.057999,-0.173600,48.274920,48.101320
4.500000,1.861675,6.255531,-1.520405,-1.704084,-3.224489
4.500000,2.647154,7.054351,-1.199447,-1.314557,-2.514004
4.500000,3.637913,8.053206,-0.426690,-0.278453,-0.705143
4.500000,4.632645,9.052314,-0.130115,-0.119048,-0.249163
4.500000,5.629244,10.051600,-0.241122,-0.094405,-0.335527
4.500000,6.626867,11.051010,-0.275393,-0.085958,-0.361351
5.200000,1.522026,6.576474,-1.234298,0.712748,-0.521550
5.200000,2.294380,7.375041,-1.019494,-1.783420,-2.802914
5.200000,3.278520,8.373634,-0.442121,-0.429756,-0.871877
5.200000,4.270037,9.372527,-0.076826,-0.081467,-0.158293
5.200000,5.264763,10.371630,-0.026337,-0.037575,-0.063912
5.200000,6.261170,11.370900,-0.076573,-0.025905,-0.102478
6.000000,0.589857,5.746986,2.033763,81.505697,83.539460
6.000000,1.162372,6.943505,-1.206101,9.782488,8.576387
6.000000,1.902602,7.741783,-1.025356,-1.724416,-2.749772
6.000000,2.873304,8.740073,-0.613648,-0.885919,-1.499567
6.000000,3.858997,9.738714,-0.125870,-0.137902,-0.263772
6.000000,4.850551,10.737610,-0.017985,-0.039734,-0.057719
6.000000,5.844983,11.736690,-0.003750,-0.021419,-0.025169
9.000000,6.283603,15.107480,0.014739,-0.015428,-0.000690
9.000000,7.275826,16.106410,0.015255,-0.010424,0.004831
6.500000,1.437639,7.721663,-1.104095,1.979835,0.875740
6.500000,1.667549,7.971111,-1.046766,-0.694027,-1.740793
6.500000,2.140921,8.470105,-0.924755,-1.894591,-2.819346
6.500000,2.624189,8.969212,-0.728750,-1.278054,-2.006804
6.500000,2.916858,9.268722,-0.563653,-0.822944,-1.386597
