Variables = "r1", "r2", "r3", "E"
   3.894600E+00,   7.232100E+00,   5.380200E+00,   4.587848E-02
   6.594800E+00,   1.441800E+01,   7.842900E+00,  -5.152394E-12
   1.860400E+00,   1.019200E+01,   8.493700E+00,  -4.925581E-05
   7.505100E+00,   1.446000E+01,   9.008000E+00,   3.358145E-14
   4.836700E+00,   9.237100E+00,   4.627500E+00,   9.903338E-03
   3.078400E+00,   6.294100E+00,   4.082000E+00,   7.894260E-01
   2.576100E+00,   1.065800E+01,   8.441800E+00,  -2.106074E-04
   3.492700E+00,   6.219800E+00,   2.803000E+00,   3.181549E+00
   8.350300E+00,   1.113200E+01,   9.892300E+00,   7.307691E-11
   8.182800E+00,   7.343600E+00,   2.558200E+00,   2.305665E-03
   9.831600E+00,   1.737100E+01,   7.544100E+00,  -1.207529E-16
   5.894200E+00,   7.419400E+00,   2.288800E+00,   3.339638E-02
   6.478200E+00,   8.261000E+00,   4.538100E+00,   2.785168E-03
   8.702800E+00,   1.148300E+01,   4.824300E+00,  -1.088383E-07
   4.310300E+00,   7.389400E+00,   4.766000E+00,   5.272083E-02
   8.750100E+00,   1.726200E+01,   9.904300E+00,   3.242681E-21
   4.597300E+00,   6.125700E+00,   1.735600E+00,   3.958372E-01
   7.772200E+00,   1.415900E+01,   7.722200E+00,   1.104297E-12
   4.701200E+00,   7.462700E+00,   4.123800E+00,   7.245427E-02
   1.977500E+00,   5.146000E+00,   3.342600E+00,   4.531187E+00
   7.171900E+00,   1.356200E+01,   6.529800E+00,   5.213040E-10
   4.925800E+00,   1.027600E+01,   6.887600E+00,   1.991382E-05
   4.660300E+00,   8.313100E+00,   8.079800E+00,   3.218052E-04
   6.390600E+00,   7.646700E+00,   2.012600E+00,   7.450461E-03
   7.684400E+00,   1.668000E+01,   9.129200E+00,  -1.861317E-17
   2.355600E+00,   3.724700E+00,   3.150500E+00,   6.495839E+00
   5.265000E+00,   1.306300E+01,   9.003600E+00,  -1.943528E-07
   1.737200E+00,   4.523300E+00,   4.254800E+00,   9.350152E-01
   9.325000E+00,   1.166400E+01,   3.406900E+00,  -6.387227E-05
   2.894900E+00,   4.997300E+00,   5.383100E+00,   2.823668E-01
   5.659400E+00,   7.298600E+00,   2.559800E+00,   5.839340E-02
   9.697600E+00,   9.788500E+00,   7.021600E+00,   3.524106E-08
   3.195900E+00,   4.012900E+00,   1.612000E+00,   5.926002E+00
   9.877500E+00,   1.456200E+01,   6.229800E+00,  -8.731952E-11
   6.434800E+00,   1.539500E+01,   8.975100E+00,  -3.500983E-11
   5.981900E+00,   1.007900E+01,   8.334500E+00,   1.145773E-06
   7.415500E+00,   6.821000E+00,   2.079500E+00,   5.283705E-03
   3.110900E+00,   4.662400E+00,   3.880300E+00,   1.251536E+00
   9.075900E+00,   1.761200E+01,   8.626900E+00,   3.000164E-20
   3.525700E+00,   7.858900E+00,   4.534000E+00,   2.160949E-01
   2.313000E+00,   3.678600E+00,   1.693400E+00,   1.603973E+01
   8.726900E+00,   1.387300E+01,   6.104200E+00,  -6.142313E-10
   2.069100E+00,   4.279200E+00,   4.001400E+00,   1.730843E+00
   3.597700E+00,   8.813900E+00,   9.537300E+00,   2.616206E-04
   8.149600E+00,   1.167600E+01,   4.468800E+00,  -1.802168E-05
